	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
APP_CAV1	21	Bcell--endothelial,Bcell--stroma,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--stroma,luminal_ar--endothelial,luminal_ar--stroma,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--endothelial,stroma--stroma	0.02094415088829973,0.01908996614672039,0.019365037572247033,0.01765065166192446,0.02613016164195697,0.023816859600259758,0.024472223812730842,0.022305698932916833,0.01790893012942301,0.0178069813065145,0.01763991458224017,0.05114295916565189,0.04661527527768192,0.0359808012895723,0.032795422560363816,0.02356348922789261,0.02147741458023835,0.036759179826886014,0.03350489128057598,0.03175272122575875,0.028941654235532164
APP_CD74	20	basal_like_1--Tcell,basal_like_1--macrophage,basal_like_2--macrophage,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,macrophage--macrophage,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Tcell,stroma--endothelial,stroma--macrophage	0.015551811748985681,0.018530277355178718,0.01735454609740215,0.02066590855767675,0.03043860516932924,0.01987708243331964,0.02448249307516671,0.03626817281460696,0.021058186345935818,0.02141458808791287,0.01722426181006992,0.02551588606657441,0.01671011441993954,0.02187785336149299,0.01759687707247421,0.02606787538762712,0.01513564469766176,0.018898174063650332,0.015200250243819241,0.02251753124061095
APP_GPC1	19	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--basal_like_2,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--mesenchymal	0.02061237261724791,0.01775770654553375,0.01791497631623942,0.023246647014680582,0.02129168555314261,0.0221675636728221,0.01807748201781419,0.02603128935262965,0.022240997207954742,0.01635480231354715,0.01559563069087003,0.018313892367365667,0.01564729366615936,0.01670860841698608,0.015303473065186368,0.015933013510889733,0.01871007978516958,0.0159857941197419,0.016161839037977292
APP_LRP1	25	Bcell--stroma,Tcell--stroma,basal_like_1--stroma,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--Bcell,stroma--Tcell,stroma--macrophage,stroma--stroma	0.0178904708945753,0.0165415940186042,0.022320355636242732,0.0209041469469062,0.02890071571083226,0.02470709031470426,0.02028950785430871,0.021651188280834108,0.027794816357903818,0.04368626005873025,0.020332630846598792,0.017382273563355692,0.01523234314018753,0.01955459325328899,0.03073476130245965,0.02012790685354321,0.020772489962874282,0.01775830711976659,0.015561866901426169,0.01997762095552838,0.03139965140189799,0.017943356899208982,0.01533969414091584,0.01725674598677535,0.02712313991350913
APP_NCSTN	19	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--basal_like_1,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--mesenchymal,mesenchymal--basal_like_1,mesenchymal--endothelial,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--luminal_ar,stroma--mesenchymal	0.01688308590538436,0.0154839805222502,0.02387917660704639,0.02052117779356031,0.0215325907608883,0.02869366384624272,0.01911769849819365,0.0253994097970562,0.01782993656744283,0.0167998082722163,0.015148905774258332,0.02018696285792606,0.01786934373156243,0.01716324126207216,0.015476624521363832,0.020623670714866232,0.018255914156289483,0.01781480625914354,0.01576952901713174
APP_TNFRSF21	21	endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,luminal_ar--Bcell,luminal_ar--Tcell,luminal_ar--endothelial,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--Bcell,mesenchymal--Tcell,mesenchymal--endothelial,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--Bcell,stroma--mesenchymal	0.02561201487587921,0.02162175660017629,0.01766661858400774,0.018472470253535992,0.02224334906781213,0.01634360115645828,0.01971117671096516,0.0252175187414471,0.02245221430778306,0.01801891859424308,0.015211636957544931,0.01564894827910257,0.01774137722287794,0.01579589203867955,0.0184087247963475,0.01554071277856042,0.015987484527196533,0.01812517932727068,0.01613760714506869,0.01590152743703508,0.0156565997678971
ARTN_GFRA1	16	Bcell--basal_like_1,Bcell--basal_like_2,Bcell--luminal_ar,Bcell--stroma,basal_like_1--basal_like_1,basal_like_2--basal_like_1,endothelial--basal_like_1,luminal_ar--basal_like_1,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--stroma,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--stroma	0.02185002663005312,0.01611449895619201,0.01502380547034256,0.0159096863716458,0.02000738313863673,0.015500533027977869,0.01876683595646194,0.01964722561788582,0.02097217843412311,0.01546708172066552,0.01527049770082048,0.02439722835635224,0.01799307239020333,0.01677522957053122,0.0164009853326335,0.01776438345173972
AZGP1_ITGAV	21	Bcell--endothelial,Bcell--stroma,basal_like_1--Tcell,basal_like_1--basal_like_2,basal_like_1--endothelial,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,luminal_ar--Tcell,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--macrophage,luminal_ar--stroma,macrophage--endothelial,mesenchymal--endothelial,mesenchymal--macrophage,mesenchymal--stroma,stroma--endothelial,stroma--stroma	0.01744344603169575,0.016185918369788832,0.01573562444755595,0.0163657155479495,0.02577902737547686,0.02025674481750021,0.0239205734918341,0.02185845963990752,0.01717602578949291,0.02028264614560639,0.017061394430253368,0.01774457245262136,0.02795098189761535,0.02196343172501436,0.02593594812218802,0.015516554470878931,0.02262513487172885,0.01777846684759412,0.0209940504573376,0.016541422872492,0.01534892359272461
B2M_CD1A	14	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Bcell,endothelial--Tcell,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,mesenchymal--Tcell,stroma--Tcell	0.05447511294512361,0.02055519762591754,0.08262944268188425,0.01576941422895663,0.05795230497834705,0.052202542500692665,0.01712785781121587,0.06885194543159498,0.057090723251473,0.02186600697509866,0.08789873991542055,0.01677503314727649,0.04368103260474012,0.058945905273059436
B2M_CD1B	11	Bcell--Tcell,Tcell--Tcell,Tcell--macrophage,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Tcell,luminal_ar--Tcell,macrophage--Tcell,macrophage--macrophage,mesenchymal--Tcell,stroma--Tcell	0.06071521849921858,0.09209461707684903,0.016458461205434267,0.0645907216904387,0.058182325887734004,0.07673891222927279,0.06363044607146406,0.09796751050606994,0.01750802079682521,0.04868467994806962,0.06569813855903926
B2M_HLA-F	17	Bcell--Tcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Tcell,endothelial--Tcell,endothelial--macrophage,luminal_ar--Tcell,macrophage--Bcell,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Tcell,stroma--macrophage	0.0186835675058294,0.02833978099083943,0.01783383295030004,0.021378559521665518,0.015172187464694491,0.01987615525041851,0.0179041340909221,0.02361445256065393,0.01781393369986425,0.01958065480102878,0.01541667162932801,0.03014701488625568,0.018971100292041018,0.02274187483504837,0.01613972110451579,0.02021693468485074,0.015250962653713281
B2M_LILRB1	26	Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,basal_like_1--stroma,basal_like_2--macrophage,basal_like_2--stroma,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--macrophage,luminal_ar--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,mesenchymal--macrophage,mesenchymal--stroma,stroma--macrophage,stroma--stroma	0.02329534643037141,0.023349085076862883,0.01531542686055346,0.016095331009637042,0.01986675066836902,0.035335061986233464,0.03541657433508424,0.02478230788193309,0.02483947671118792,0.02232352071164784,0.022375017511300683,0.0165542013660651,0.029443351918329714,0.029511273032316668,0.02441386725426836,0.0244701861497949,0.016292094907286333,0.01712173371077162,0.015791416490501968,0.0211336576078145,0.03758838644695518,0.03767509685572695,0.01867944336322589,0.0187225338579972,0.02520720398268943,0.02526535297943918
BGN_FGFR3	24	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01646293007268465,0.0240875366489826,0.02005089834782351,0.01962685753174648,0.016337748894421918,0.02157824318882557,0.017962117380816992,0.0185892406718392,0.01557797518417796,0.02719862223691421,0.016651633263074467,0.02264062189589875,0.01506338523886974,0.02203980958414221,0.01834633354240013,0.019745821916238068,0.01930585670174712,0.027687362636670758,0.023202295117023708,0.02054088295109157,0.04051042914475077,0.02480143308629171,0.03372160917261804,0.01808949836348193
BGN_TLR2	23	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.017253451746410492,0.03147092133041702,0.01954503650591564,0.02564294134124277,0.01592556567923657,0.0154560917978484,0.02819247163959456,0.01750895315718948,0.016358860928650368,0.01948186413463194,0.035535626294514115,0.022069424212108082,0.01578670316942245,0.02879551876423227,0.01788347597277797,0.02200108858481473,0.020555187756408067,0.01650547172935484,0.02436536934725665,0.029016862316008567,0.05292780856982042,0.01849340838346712,0.032870850516709266
BGN_TLR4	28	Bcell--Bcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--macrophage,basal_like_2--Bcell,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02269674502266874,0.0164524754346277,0.01735712927165806,0.02903450002710835,0.01712949321489125,0.01849362130656523,0.02365771161417679,0.020332335798006917,0.01554896882739315,0.0260098619290474,0.01534504651424674,0.0256281994657683,0.01857743573905265,0.01959893238800961,0.032784522949894535,0.01934189543127444,0.020767251785398958,0.015053819369374482,0.01588156687208788,0.02656622224569686,0.01567328258720076,0.03817139520973527,0.02074843668286845,0.01549889042324251,0.02766978002204262,0.02919122722104846,0.048830234209570667,0.02880838880619413
C1QA_CD33	25	Bcell--Tcell,Bcell--basal_like_2,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Tcell,basal_like_2--basal_like_2,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Tcell,endothelial--macrophage,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--macrophage,stroma--stroma	0.0247166022262525,0.01844525780619739,0.03282409393307127,0.01839827951736083,0.029643445224713818,0.02212201274384628,0.01713055578440793,0.03936703037290362,0.02206567011555419,0.0205306942242726,0.015321440400278382,0.0272651325437001,0.015282418172447309,0.01962766110234246,0.02606588825649681,0.03942303296191923,0.0294202253136745,0.02278205047440566,0.052354499426064516,0.01573885306598973,0.0293452948433637,0.02258796466024695,0.01685671953052672,0.029997224819896067,0.01681378709514076
C1QB_CD33	25	Bcell--Tcell,Bcell--basal_like_2,Bcell--macrophage,Bcell--stroma,Tcell--Tcell,Tcell--basal_like_2,Tcell--macrophage,Tcell--stroma,basal_like_1--macrophage,basal_like_2--Tcell,basal_like_2--macrophage,endothelial--Tcell,endothelial--basal_like_2,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Tcell,stroma--basal_like_2,stroma--macrophage	0.02136796923799138,0.01594627359301905,0.028377048876153287,0.01590565997543828,0.023558290440353142,0.01758084451365438,0.031285834971903834,0.0175360678019255,0.01644952270572967,0.01920681046191626,0.02550699100894269,0.02096516555821861,0.015645673306188268,0.027842118318125168,0.01560582528848404,0.04660237908583244,0.01670348033101409,0.034777955673345434,0.02693089985203246,0.06188880067800032,0.01860506262077716,0.0346893795816511,0.020110832324951318,0.01500811007659195,0.02670754836218177
C1QB_LRP1	25	Bcell--Bcell,Bcell--Tcell,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--macrophage,Tcell--stroma,basal_like_1--stroma,basal_like_2--Bcell,basal_like_2--macrophage,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--macrophage,stroma--stroma	0.018106769655108268,0.0154793949621334,0.01741390567742818,0.02737015428583675,0.01996280197339479,0.01706610854299214,0.01919891605423946,0.030175728768674987,0.0158658490651769,0.01627544896615232,0.01565266132793679,0.024601933849044032,0.01776544225217903,0.01518759571897848,0.017085639326613108,0.0268542045135635,0.039489880113966466,0.033759718764574384,0.02772354293072829,0.02958414034066955,0.03797878145114378,0.05969281832353415,0.01704149816132125,0.01638939729371288,0.025759892174117182
C3_C3AR1	24	Bcell--Tcell,Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--Bcell,Tcell--Tcell,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--macrophage,basal_like_2--stroma,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--endothelial,stroma--macrophage,stroma--stroma	0.015800360188578142,0.01788528566049726,0.03675391682113383,0.02019947877724084,0.01660992251950387,0.021086993513880308,0.02386951298676321,0.04905138847259974,0.02695801063240009,0.0156668139184272,0.03219500021080714,0.017693956991204858,0.016282157130007382,0.033459518633614266,0.018388920011587918,0.01584114698954318,0.017931454455241892,0.03684879280321132,0.020251621393652868,0.01927436278939493,0.02446961222407238,0.02769848278177218,0.056919847496836574,0.03128241425564249
C3_CD19	17	Bcell--Tcell,Bcell--stroma,Tcell--Tcell,Tcell--stroma,basal_like_1--Tcell,basal_like_2--Tcell,basal_like_2--stroma,endothelial--Tcell,endothelial--stroma,luminal_ar--Tcell,macrophage--Tcell,macrophage--stroma,mesenchymal--Tcell,stroma--Bcell,stroma--Tcell,stroma--macrophage,stroma--stroma	0.07861330730159125,0.01857137582851118,0.1049164880666249,0.02478516166503226,0.01911815269815558,0.06886219657796183,0.01626780219435265,0.07156688723295893,0.016906750336568733,0.01697887848647407,0.07881623845504886,0.0186193156856109,0.02079418431142507,0.01605491974225805,0.1217464109908296,0.01565045513520762,0.028761013012835217
